design_name,design_path,loopx_routine,routine_path,routine_category
admg-state-model,designs\admg-state-model.yaml,causal.kg.engine,LOOPX/routines\kg_l\causal_kg_engine.yaml,causal
agent-observability-architecture,designs\agent-observability-architecture.yaml,causal.kg.engine,LOOPX/routines\kg_l\causal_kg_engine.yaml,causal
agent-swarm-self-improving-loop,designs\agent-swarm-self-improving-loop.yaml,meta.list,LOOPX/routines\meta\meta_list.yaml,meta
atomic-fragmentation,designs\atomic-fragmentation.yaml,budget.check,LOOPX/routines\budget\budget_check.yaml,budget
awareness,designs\awareness.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
balise-identity-freshness,designs\balise-identity-freshness.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
big-picture,designs\big-picture.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
buzz-persistent-state,designs\buzz-persistent-state.yaml,memory.recall,LOOPX/routines\memory\memory_recall.yaml,memory
clone-dedup-rescue,designs\clone-dedup-rescue.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
clone-governance,designs\clone-governance.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
codedb-e5620,designs\codedb-e5620.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
conflict-resolver-pattern,designs\conflict-resolver-pattern.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
consciousness,designs\consciousness.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
contract-centrality,designs\contract-centrality.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
conversation-to-execution-bridge,designs\conversation-to-execution-bridge.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
dag3-triadic-workflow,designs\dag3-triadic-workflow.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
deepmind-co-scientist-reliability,designs\deepmind-co-scientist-reliability.yaml,isolation.worktree,LOOPX/routines\isolation\isolation_worktree.yaml,isolation
delivery-engine,designs\delivery-engine.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
deterministic-budget-control,designs\deterministic-budget-control.yaml,meta.list,LOOPX/routines\meta\meta_list.yaml,meta
dry-run-simulation,designs\dry-run-simulation.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
ecosystem-consciousness,designs\ecosystem-consciousness.yaml,causal.kg.engine,LOOPX/routines\kg_l\causal_kg_engine.yaml,causal
elegance,designs\elegance.yaml,ops.advanced,LOOPX/routines\ops\ops_advanced.yaml,advanced
entropy-search,designs\entropy-search.yaml,meta.list,LOOPX/routines\meta\meta_list.yaml,meta
extra-spection,designs\extra-spection.yaml,meta.list,LOOPX/routines\meta\meta_list.yaml,meta
file-spool-interprocess,designs\file-spool-interprocess.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
flex,designs\flex.yaml,meta.list,LOOPX/routines\meta\meta_list.yaml,meta
fresh-context-verifier,designs\fresh-context-verifier.yaml,verifiers.yaml,LOOPX/routines\verifiers\verifiers_yaml.yaml,verification
generate-then-syntax-validate,designs\generate-then-syntax-validate.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
gguf-probe-retention,designs\gguf-probe-retention.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
git-rebase-workflow,designs\git-rebase-workflow.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
git-revert-reset-strategy,designs\git-revert-reset-strategy.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
git-submodule-management,designs\git-submodule-management.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
git-tag-release-management,designs\git-tag-release-management.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
github-actions-ban,designs\github-actions-ban.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
harness-engineering-reliable-agents,designs\harness-engineering-reliable-agents.yaml,meta.list,LOOPX/routines\meta\meta_list.yaml,meta
hotfix-workflow,designs\hotfix-workflow.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
ide-window-lifecycle,designs\ide-window-lifecycle.yaml,verifiers.yaml,LOOPX/routines\verifiers\verifiers_yaml.yaml,verification
impense-register,designs\impense-register.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
incremental-combinatorial-discipline,designs\incremental-combinatorial-discipline.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
incremental-growth,designs\incremental-growth.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
infx,designs\infx.yaml,verifiers.catalog,LOOPX/routines\verifiers\verifiers_catalog.yaml,governance
jevx,designs\jevx.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
kg-edge-kinds,designs\kg-edge-kinds.yaml,verifiers.yaml,LOOPX/routines\verifiers\verifiers_yaml.yaml,verification
kg-test,designs\kg-test.yaml,test.run,LOOPX/routines\test\test_run.yaml,test
kg35-migration,designs\kg35-migration.yaml,git.sync,LOOPX/routines\git\git_sync.yaml,git
